code,english_label,level,welsh_label
CAH14-01-01,Humanities (non-specific),3,Dyniaethau (amhenodol)
CAH14-01-02,Liberal arts (non-specific),3,Celfyddydau rhyddfrydol (amhenodol)
CAH15,Social sciences,1,Gwyddorau cymdeithasol
CAH15-01,"Sociology, social policy and anthropology",2,"Cymdeithaseg, polisi cymdeithasol ac anthropoleg"
CAH15-01-01,Social sciences (non-specific),3,Gwyddorau cymdeithasol (amhenodol)
CAH15-01-02,Sociology,3,Cymdeithaseg
CAH15-01-03,Social policy,3,Polisi cymdeithasol
CAH15-01-04,Anthropology,3,Anthropoleg
CAH15-01-05,Development studies,3,Astudiaethau datblygiad
CAH15-01-06,Cultural studies,3,Astudiaethau diwylliannol
CAH15-02,Economics,2,Economeg
CAH15-02-01,Economics,3,Economeg
CAH15-03,Politics,2,Gwleidyddiaeth
CAH15-03-01,Politics,3,Gwleidyddiaeth
CAH15-04,Health and social care,2,Iechyd a gofal cymdeithasol
CAH15-04-01,Social work,3,Gwaith cymdeithasol
CAH15-04-02,Childhood and youth studies,3,Astudiaethau plentyndod ac ieuenctid
CAH15-04-03,Health studies,3,Astudiaethau iechyd
CAH16,Law,1,Y gyfraith
CAH16-01,Law,2,Y gyfraith
CAH16-01-01,Law,3,Y gyfraith
CAH17,Business and management,1,Busnes a rheolaeth
CAH17-01,Business and management,2,Busnes a rheolaeth
CAH17-01-01,Business and management (non-specific),3,Busnes a rheolaeth (amhenodol)
CAH17-01-02,Business studies,3,Astudiaethau busnes
CAH17-01-03,Marketing,3,Marchnata
CAH17-01-04,Management studies,3,Astudiaethau rheoli
CAH17-01-05,Human resource management,3,Rheoli adnoddau dynol
CAH17-01-06,"Tourism, transport and travel",3,"Twristiaeth, trafnidiaeth a theithio "
CAH17-01-07,Finance,3,Cyllid
CAH17-01-08,Accounting,3,Cyfrifeg
CAH17-01-09,Business and management (other),3,Busnes a rheolaeth (arall)
CAH18,Communications and media,1,Cyfathrebu a’r cyfryngau
CAH18-01,"Communications, journalism and media",2,"Cyfathrebu, newyddiaduraeth a’r cyfryngau "
CAH18-01-01,Information services,3,Gwasanaethau gwybodaeth
CAH18-01-02,Publicity studies,3,Astudiaethau cyhoeddusrwydd
CAH18-01-03,Publishing,3,Cyhoeddi
CAH18-01-04,Journalism,3,Newyddiaduraeth
CAH18-01-05,Media studies,3,Astudiaethau cyfryngau
CAH19,Language and area studies,1,Astudiaethau iaith ac ardal
CAH19-01,English studies,2,Astudiaethau Saesneg
CAH19-01-01,English studies (non-specific),3,Astudiaethau Saesneg (amhenodol)
CAH19-01-02,English language,3,Iaith Saesneg
CAH19-01-03,Literature in English,3,Llenyddiaeth yn Saesneg
CAH19-01-04,Studies of specific authors,3,Astudiaethau o awduron penodol
CAH19-01-05,Creative writing,3,Ysgrifennu creadigol
CAH19-01-06,English studies (other),3,Astudiaethau Saesneg (arall)
CAH19-02,Celtic studies,2,Astudiaethau Celtaidd
CAH19-02-01,Celtic studies (non-specific),3,Astudiaethau Celtaidd (amhenodol)
CAH19-02-02,Gaelic studies,3,Astudiaethau Gaeleg
CAH19-02-03,Welsh studies,3,Astudiaethau Cymraeg
CAH19-02-04,Celtic studies (other),3,Astudiaethau Gaeleg (arall)
CAH19-03,"Languages, linguistics and classics",2,"Iaith, ieithyddiaeth a’r clasuron "
CAH19-03-01,French studies,3,Astudiaethau Ffrangeg
CAH19-03-02,German and Scandinavian studies,3,Astudiaethau Almaeneg a Llychlynnaidd
CAH19-03-03,Italian studies,3,Astudiaethau Eidaleg
CAH19-03-04,Iberian studies,3,Astudiaethau Iberaidd
CAH19-03-05,Slavic studies,3,Astudiaethau Slafig
CAH19-03-06,Asian studies,3,Astudiaethau Asiaidd
CAH19-03-07,African and modern Middle Eastern studies,3,Astudiaethau Affricanaidd a Dwyrain Canol modern
CAH19-03-08,American and Australasian studies,3,Astudiaethau Americanaidd ac Awstralasiaidd
CAH19-03-09,Classics,3,Clasuron
CAH19-03-10,Linguistics,3,Ieithyddiaeth
CAH19-03-11,Language and area studies (other),3,Astudiaethau iaith ac ardal (arall)
CAH20,"Historical, philosophical and religious studies",1,"Astudiaethau hanesyddol, athronyddol a chrefyddol               "
CAH20-01,History and archaeology,2,Hanes ac archaeoleg
CAH20-01-01,History,3,Hanes
CAH20-01-02,"History of art, architecture and design",3,"Hanes celf, pensaernïaeth a dylunio "
CAH20-01-03,Archaeology,3,Archaeoleg
CAH20-01-04,Heritage studies,3,Astudiaethau treftadaeth
CAH20-02,Philosophy and religious studies,2,Athroniaeth ac astudiaethau crefyddol
CAH20-02-01,Philosophy,3,Athroniaeth
CAH20-02-02,Theology and religious studies,3,Diwinyddiaeth ac astudiaethau crefyddol
CAH21,Creative arts and design,1,Celfyddydau creadigol a dylunio
CAH21-01,"Performing arts, creative arts and design",2,"Celfyddydau perfformio, celfyddydau creadigol a dylunio "
CAH21-01-01,Creative arts and design (non-specific),3,Celfyddydau creadigol a dylunio (amhenodol)
CAH21-01-02,Art,3,Celf
CAH21-01-03,Design studies,3,Astudiaethau dylunio
CAH21-01-04,Performing arts (non-specific),3,Celfyddydau perfformio (amhenodol)
CAH21-01-05,Music,3,Cerddoriaeth
CAH21-01-06,Drama,3,Drama
CAH21-01-07,Dance,3,Dawns
CAH21-01-08,Cinematics and photography,3,Sinemateg a ffotograffiaeth
CAH21-01-09,Creative arts and design (other),3,Celfyddydau creadigol a dylunio (arall)
CAH22,Education and teaching,1,Addysg ac addysgu
CAH22-01,Education and teaching,2,Addysg ac addysgu
CAH22-01-01,Education,3,Addysg
CAH22-01-02,Teacher training,3,Hyfforddi athrawon
CAH23,Combined and general studies,1,Astudiaethau cyfun a chyffredinol
CAH23-01,Combined and general studies,2,Astudiaethau cyfun a chyffredinol
CAH23-01-01,"Combined, general or negotiated studies",3,"Astudiaethau cyfun, cyffredinol neu wedi’u trefnu "
CAH23-01-02,Personal development,3,Datblygiad personol
